S No,Passion,Skill,Course/Degree,Institution,Training/Programme
781,Rural Development,Community Planning,PGDM Rural Management,IRMA Anand,Microsoft Learn - DDU-GKY Training
782,Finance,Concepts of Public Policy,B.A Political Science - Specialization,JNU Delhi,NPTEL - Political Science
783,Augmented Reality,AR Development,B.Tech AR/VR,VIT Vellore,NPTEL - Unity AR Foundation Course
784,Geology,Petroleum Geology + Cabin Crew,M.Sc Geology - Specialization,IIT Roorkee,ONGC Training Programs
785,Masonry,Crisis Management - Professional,M.A Disaster Management,TISS Mumbai,NSDC - Disaster Response
786,Software Development,Web Development,M.Sc Data Science,All India Chess Federation,edX - Web Development Specialization
787,Fire Safety,Quality Control,M.Tech in Food Technology,CFTRI Mysore,PMKVY - Food Processing
788,Biotechnology,Goalkeeping + Cinematography,Certificate Football Coaching (Honours),Vellore Institute of Technology,Pluralsight - Football Coach
789,Product Management,Embedded C,Diploma in AI & ML (Honours),Anna University,Simplilearn - Embedded C Specialization
790,Aromatherapy,Applied Hand Reading,Certificate Palmistry - Specialization,Institute of Palmistry,Pluralsight - Traditional Knowledge Programs
791,Siddha Medicine,Public Relations,B.A Mass Communication,Manipal University,Pluralsight - Communication Skills
792,Mathematics,Pure Mathematics,B.Sc Mathematics,IIT Kharagpur,Pluralsight - Mathematics
793,Music Production,Concepts of Milk Processing,B.Tech Dairy Technology,NDRI Karnal (Dept. of CS),NSDC - Dairy Farming
794,Calligraphy,Arabic Calligraphy + Organic Farming,Workshop Calligraphy (Honours),Jamia Hamdard,NSDC - Traditional Arts
795,Literature,Analytical Chemistry,M.Sc Chemistry (Honours),IIT Madras,SWAYAM - Chemical Sciences
796,E-commerce,Marketplace Management,MBA E-commerce,NMIMS Mumbai (Dept. of CS),Google Digital Garage
797,Palmistry,Hand Reading + Financial Accounting,Certificate Palmistry - Specialization,Institute of Palmistry,Traditional Knowledge Programs (Certificate)
798,Tailoring,Information Security - Essentials,M.Sc Cybersecurity,IIT Kanpur (Dept. of CS),Pluralsight - Information Security
799,Supply Chain Management,Carnatic Music,Certificate Music (Honours),Chennai Music Academy,Government Music Programs
800,Banking Law,Simultaneous Interpretation,Certificate Interpretation - Specialization,CIIL Mysore,SWAYAM - Government Translation Services
801,Aerospace Engineering,Homeopathy,BHMS (Honours),IIT Kharagpur,AYUSH Training Programs
802,Fisheries,Applied Speech Therapy,M.Ed Special Education,AYJNISHD Mumbai,Simplilearn - Government Rehabilitation Centers
803,Automobile Engineering,Traditional Medicine + Python & SQL,MD Siddha,Tamil Nadu Dr MGR Medical University (Dept. of CS),SWAYAM - Government Siddha Training
804,Astrology,Comedy Writing,Workshop Comedy,The Comedy Factory,Online Comedy Masterclass
805,Ayurveda,Ayurvedic Medicine,BAMS,Banaras Hindu University,AYUSH Ayurveda Programs
806,Forensic Science,Wildlife Biology,M.Sc Zoology,Delhi University (Dept. of CS),WWF Wildlife Training
807,Aviation,Corporate Events,MBA Event Management (Honours),IIT BHU,Pluralsight - Event Planning
808,Banking,Investment Banking,MBA Banking,IIM Lucknow,NSDC - Banking & Finance
809,Quantum Computing,Quantum Cryptography - Basics,PhD Quantum Science - Specialization,IIT Madras,SWAYAM - Quantum Mechanics
810,Mass Communication,Digital Media,M.A Mass Communication,Symbiosis Pune,SWAYAM - Digital Marketing
811,Aromatherapy,Essential Oils + Editorial,Certificate Aromatherapy (Honours),Madras Christian College,PMKVY - Aromatherapist (Certificate)
812,Nanotechnology,Nanomaterials,M.Tech Nanotechnology,IIT Bombay,NPTEL - Nanotechnology
813,Electric Vehicles,Pressure Point Therapy + Clay Modeling,Diploma Reflexology,Spa Training Institutes,NSDC - Spa Therapy (Certificate)
814,Labor Law,Hands-on Industrial Relations,LLM Labor Law,Campus Law Centre Delhi,NPTEL - Labour Laws
815,Digital Marketing,SEO,BBA Marketing,IIT Roorkee,Google Digital Marketing Course
816,Plumbing,Podcast Production,Certificate Podcasting,All India Radio Training,NSDC - Audio Production
817,Digital Marketing,Mixed Reality + Pipe Fitting,M.Tech AR/VR,IIIT Hyderabad,Microsoft Learn - AR/VR Development
818,Martial Arts,Cinematography + Plant Pathology,M.A Film Making (Honours),Satyajit Ray Film Institute,Pluralsight - Media & Entertainment
819,Nanotechnology,Nanoelectronics,PhD Nanotechnology,IISc Bangalore,SWAYAM - Nanoscience
820,Cybersecurity,Cloud Computing,M.Sc Data Science (Honours),NRAI Certified Colleges,edX - Cloud Computing Specialization
821,Palmistry,Python Programming + Hatchery Management,B.Tech Computer Science,IIT Bombay,Simplilearn - Programming in Python
822,Astrology,Corporate Law + Print Journalism,LLB - Specialization,National Law School Bangalore,Pluralsight - Introduction to Law
823,Graphic Design,Brand Design + Satellite Engineering,M.Des Graphic Design - Specialization,MIT Institute of Design,Adobe Creative Cloud Training
824,History,Practical Food & Beverage,BHM,IHM Delhi,PMKVY - F&B Service Training (Certificate)
825,Botany,Plant Breeding + Genomics,PhD Botany,Indian Agricultural Research Institute,Udemy - Agriculture Skills
826,Mathematics,Literary Translation,MA Translation Studies - Specialization,Central Institute of Indian Languages,NPTEL - Translation Studies
827,Software Development,Cloud Computing,M.Tech CSE - Specialization,NIMHANS Bangalore,Google - Cloud Computing Specialization
828,Calligraphy,Vedic Astrology - Professional,Diploma Astrology,Bharatiya Vidya Bhavan,SWAYAM - Indian Knowledge Systems
829,Dance,Aerodynamics,M.Tech Aerospace (Honours),IIT Madras,Microsoft Learn - Aviation Maintenance
830,Mass Communication,Astrophysics + TV Series Writing,M.Sc Physics,Indian Institute of Astrophysics,SWAYAM - Astronomy
831,Meteorology,Water Quality Testing,Certificate Water Testing (Honours),NEERI Nagpur,PMKVY - Water Quality Tester
832,Quantum Computing,Orthopedic Care - Basics,MPT,CMC Vellore,Google - Healthcare Skills
833,Software Development,Python Programming,B.Tech Information Technology (Honours),Government Siddha Medical College,Simplilearn - Python Programming Specialization
834,Event Management,Wedding Planning,BBA Event Management - Specialization,Symbiosis Pune,NSDC - Event Management (Certificate)
835,Veterinary Science,Animal Health,B.V.Sc,Indian Veterinary Research Institute,NPTEL - Veterinary Science
836,Patent Law,Intro to Swimming Training,Diploma Swimming Coaching,Swimming Federation of India,NSDC - Swimming Coach
837,Medical Science,Surgery + Natural Language Processing,MBBS,CMC Vellore,edX - Government Hospital Internship Program
838,Photography,Intro to Commercial Photography,Diploma Photography,NIT Trichy,NPTEL - Digital Photography (Certificate)
839,Embedded Systems,Web Development,M.Sc Data Science (Honours),SNDT Mumbai,Google - Web Development Specialization
840,Real Estate,Concepts of Property Management,BBA Real Estate,RICS School of Built Environment (Dept. of CS),Pluralsight - Real Estate Skills
841,Software Development,Clinical Pharmacy - Essentials,M.Pharm - Specialization,SRM Institute,NPTEL - Pharmacy Technician Course
842,E-commerce,Recycling,Diploma Waste Management,IGEP Ahmedabad,PMKVY - Waste Picker Training
843,Nursing,Employment Law + Mineral Exploration,PG Diploma Labor Law,TISS Mumbai,SWAYAM - Industrial Relations
844,Yoga Therapy,Clinical Yoga,M.Sc Yoga Therapy,SVYASA Bangalore,Government Yoga Training
845,Interior Design,Wildlife Biology,M.Sc Zoology - Specialization,Delhi University,WWF Wildlife Training (Certificate)
846,Banking,Criminal Law - Fundamentals,LLM,NALSAR Hyderabad,SWAYAM - Legal Studies
847,Event Management,Footwear Making - Professional,Diploma Leather Technology,FDDI Noida (Dept. of CS),NSDC - Footwear Skills
848,Archaeology,Archaeological Studies,B.A History,Delhi University,NPTEL - Indian Heritage
849,Cybersecurity,Python Programming,M.Sc Data Science - Specialization,Central Institute of Indian Languages,Google - Python Programming Specialization
850,Renewable Energy,Biomass Energy,M.Tech Renewable Energy,Anna University,MNRE Biomass Training
851,Ayurveda,Panchakarma,MD Ayurveda,Gujarat Ayurved University,Government Ayurveda Training
852,Reflexology,Pressure Point Therapy,Diploma Reflexology (Honours),Spa Training Institutes (Dept. of CS),Simplilearn - Spa Therapy
853,Comic Book Art,Solar Installation,Diploma Solar Technology,MNRE Approved Institutes,Microsoft Learn - Solar Technician
854,Sericulture,Silkworm Rearing + Azure Administration,Diploma Sericulture,Central Silk Board,edX - Silk Farming
855,Fine Arts,Painting,BFA,Visva Bharati University,Government Art Workshop
856,Augmented Reality,AR Development,B.Tech AR/VR,VIT Vellore,Unity AR Foundation Course
857,Interior Design,Property Management,BBA Real Estate - Specialization,RICS School of Built Environment,NSDC - Real Estate Skills
858,Cricket Coaching,Space Science,M.Sc Space Science (Honours),Physical Research Laboratory (Dept. of CS),Simplilearn - Satellite Technology
859,Graphic Design,Python & SQL - Essentials,MCA,NIT Trichy,SWAYAM - Database Management Systems
860,Data Science,Hospitality Management - Advanced,BHM (Honours),IHM Mumbai,Coursera - Hospitality Skills
861,Fine Arts,Sculpture + Satellite Engineering,MFA - Specialization,MS University Baroda,Lalit Kala Akademi Program
862,Electrical Engineering,Beekeeping + Performance,Certificate Beekeeping,IIT Kharagpur,Pluralsight - PM Vishwakarma Scheme
863,Geology,Mineral Exploration - Essentials,B.Sc Geology,Presidency College Chennai,Udemy - Earth Sciences
864,Embedded Systems,Python Programming,BCA - Specialization,LNJN NICFS Delhi,Pluralsight - Python Programming Specialization
865,Forestry,Social Research,B.A Sociology - Specialization,Delhi School of Economics,NPTEL - Introduction to Sociology
866,Digital Marketing,Concepts of Social Media Marketing,MBA Marketing,University of Hyderabad,SWAYAM - Digital Marketing
867,Culinary Arts,Store Operations + Cabin Crew,BBA Retail - Specialization,NRAI Certified Colleges,NSDC - Retail Training (Certificate)
868,Patent Law,IP Rights,LLM IP Law,NALSAR Hyderabad,NPTEL - Intellectual Property Rights
869,Palmistry,Hand Reading,Certificate Palmistry,Institute of Palmistry,Traditional Knowledge Programs
870,Data Science,Python Programming,B.Tech Electronics - Specialization,Asian Academy of Film,Simplilearn - Python Programming Specialization
871,Electric Vehicles,Public Relations - Professional,B.A Mass Communication,Manipal University (Dept. of CS),PMKVY - Communication Skills
872,Tailoring,Fashion Tailoring,Diploma Tailoring,NSDC Training Centers,NSDC - Apparel Skills
873,Real Estate,Fashion Tailoring - Essentials,Diploma Tailoring - Specialization,NSDC Training Centers,NSDC - Apparel Skills (Certificate)
874,Fire Safety,Intro to Robot Programming,B.Tech Robotics,SRM Institute,NPTEL - Robotics
875,Mobile Development,Intro to Film Editing,Diploma Video Editing,FTII Pune,edX - Video Production
876,Numerology,Space Science,M.Sc Space Science (Honours),Delhi Technological University,Microsoft Learn - Satellite Technology
877,Screenwriting,TV Series Writing,Certificate Screenwriting,Whistling Woods Mumbai,NSDC - Content Writing
878,Book Writing,Intro to Fiction Writing,Certificate Creative Writing,British Council India (Dept. of CS),Coursera - Creative Writing (Certificate)
879,Blockchain Technology,Smart Contracts,B.Tech Blockchain,Amity University,NPTEL - Blockchain and Applications
880,Retail Management,Store Operations,BBA Retail,NRAI Certified Colleges,NSDC - Retail Training
881,Renewable Energy,Wind Energy,Certificate Renewable Energy,NIWE Chennai,NSDC - Renewable Energy Skills
882,Food Technology,Digital Illustration,B.Des Graphic Design,NID Ahmedabad,Coursera - Design Thinking
883,Digital Marketing,Concepts of VLSI Design,B.Tech ECE,Anna University,SWAYAM - VLSI Design
884,Civil Engineering,Construction Management,B.Tech Civil,IIT Madras,NPTEL - Construction Planning
885,Translation,Computer Vision,M.Tech in Computer Vision,IIndian Institute of Technology Bangalore,NPTEL - Computer Vision
886,Numerology,Intro to Direction,PG Diploma Theatre,FTII Pune,NPTEL - Performing Arts
887,Artificial Intelligence,Python Programming,BCA - Specialization,NIT Surathkal,NPTEL - Python Programming Specialization
888,Patent Law,Patent Drafting,PG Diploma Patent Law,IIT Kharagpur,SWAYAM - IP Management
889,Food Technology,Practical Quality Control,M.Tech Food Technology,CFTRI Mysore,PMKVY - Food Processing
890,Pharmacy,Clinical Pharmacy,M.Pharm (Honours),NIPER Mohali,PMKVY - Pharmacy Technician Course
891,Cosmetology,Football Training,Diploma Football Coaching,IIT Guwahati,AIFF Coaching License
892,Civil Engineering,Genomics + Quantum Cryptography,M.Tech in Bioinformatics,BITS Pilani,Microsoft Learn - Computational Biology
893,Chemical Engineering,Python & SQL,MCA,SRM Institute,Simplilearn - Database Management Systems
894,Spa Management,CT/MRI Technology - Professional,Diploma Radiology,IGNOU,Government Hospital Training (Certificate)
895,Data Science,Python Programming,MBA (IT) - Specialization,National Geographic India,Google - Python Programming Specialization
896,Calligraphy,Fiction Writing + Clay Modeling,Certificate Creative Writing,British Council India,Simplilearn - Creative Writing
897,Artificial Intelligence,Logistics + Pain Management,BBA Logistics,Symbiosis Pune,Udemy - Supply Chain Management
898,Yoga Therapy,Industrial Safety - Professional,B.Tech Fire & Safety,Anna University,PMKVY - Safety Officer
899,Banking Law,International Relations,M.A Political Science,Delhi University (Dept. of CS),Google - Indian Polity
900,Tattoo Art,Practical Aerodynamics,Certificate Waste Management,Chess Gurukul,WHO Training Programs (Certificate)
901,Food Technology,Excavation,MA Archaeology - Specialization,Deccan College Pune,ASI Archaeological Training
902,Screenwriting,GST Compliance,PG Diploma Tax Law,ICAI Regional Offices,Pluralsight - GST & Taxation
903,Environmental Engineering,Concepts of Information Security,M.Sc Cybersecurity,Indian Institute of Technology Kanpur,Simplilearn - Information Security
904,Sports Science,Practical Sports Nutrition,B.Sc Sports Science,Vellore Institute of Technology,Microsoft Learn - Sports Nutrition
905,Mechanical Engineering,Manufacturing,M.Tech Production,NIT Trichy,PMKVY - CNC Machine Operator
906,Microbiology,Advanced Materials,M.Tech Materials Science,Indian Institute of Technology Kanpur,Google - Materials Science
907,Artificial Intelligence,Machine Learning,M.Tech AI (Honours),IIT Madras,Google - Introduction to Machine Learning
908,Book Writing,Cinematography,M.A Film Making,Satyajit Ray Film Institute,SWAYAM - Media & Entertainment
909,Museum Studies,Curation - Advanced,PG Diploma Museum Studies,MS University Baroda,SWAYAM - Government Heritage Programs
910,Environmental Law,Non-Fiction,Workshop Writing,India Habitat Centre,SWAYAM - Writing Skills
911,Spa Management,Hands-on Garment Design,B.Des Fashion Design,NIFT Mumbai (Dept. of CS),NSDC - Fashion Design Course (Certificate)
912,Stock Market Trading,Siddha Practice - Intermediate,BSMS - Specialization,Government Siddha Medical College,Coursera - AYUSH Siddha Programs
913,Photography,Commercial Photography,Diploma Photography,JJ School of Art,NPTEL - Digital Photography
914,Football Coaching,Hands-on Goalkeeping,Certificate Football Coaching,Sports Authority of India,SWAYAM - Football Coach
915,Stand-up Comedy,Permanent Makeup - Fundamentals,Diploma Tattoo Art - Specialization,Government Recognized Centers,Google - Beautician Training
916,Environmental Engineering,Water Treatment,M.Tech Environmental,Anna University,PMKVY - Water Quality Technician
917,Renewable Energy,Landscape Design - Essentials,M.Sc Horticulture (Honours),University of Agricultural Sciences,Government Agriculture Programs
918,Film Making,Cinematography,M.A Film Making,Madras Christian College,NSDC - Media & Entertainment
919,Ethical Hacking,Network Penetration + Forest Management,Advanced Diploma Cybersecurity,Indian Cyber Security Solutions,PMKVY - Cybersecurity Training
920,History,Museum Studies,M.A History,JNU Delhi,ASI Training Programs
921,Nutrition,Sports Nutrition,M.Sc Nutrition,SNDT Mumbai,PMKVY - Dietitian Training (Certificate)
922,Documentary Making,Documentary Direction,Certificate Documentary,Public Service Broadcasting Trust,NPTEL - Documentary Films
923,Water Management,Genetic Engineering,B.Tech Biotechnology,IIT Kharagpur (Dept. of CS),NPTEL - Biotechnology
924,Electric Vehicles,Construction Work - Essentials,ITI Masonry,Government ITI,Udemy - Mason Training
925,Biotechnology,Applied AWS,B.Tech IT,VIT Vellore (Dept. of CS),AWS Cloud Technical Essentials
926,Sociology,Social Research,B.A Sociology - Specialization,Madras Christian College,NPTEL - Introduction to Sociology
927,Stock Market Trading,Practical Direction,PG Diploma Theatre - Specialization,FTII Pune (Dept. of CS),SWAYAM - Performing Arts
928,Disaster Management,Crisis Management,M.A Disaster Management,TISS Mumbai,NSDC - Disaster Response
929,Automobile Engineering,Vehicle Design,B.Tech Automobile,VIT Vellore,NPTEL - Automotive Engineering (Certificate)
930,Artificial Intelligence,Data Analysis,M.Tech CSE,Campus Law Centre Delhi,NPTEL - Data Analysis Specialization
931,Aromatherapy,Non-Fiction - Fundamentals,Workshop Writing,India Habitat Centre,Simplilearn - Writing Skills
932,Banking Law,Petroleum Geology,M.Sc Geology,Madras Christian College,ONGC Training Programs (Certificate)
933,Leather Work,Business Intelligence,MBA Business Analytics,IIM Bangalore,SWAYAM - Data Analytics
934,Physics,Theoretical Physics - Advanced,B.Sc Physics,Indian Institute of Technology Bombay,NPTEL - Physics (Certificate)
935,Blockchain Technology,Cryptocurrency,M.Tech Blockchain,BITS Pilani,Coursera - Blockchain Specialization
936,Quantum Computing,Film Editing + Name Analysis,Diploma Video Editing,FTII Pune,NPTEL - Video Production
937,Meteorology,Weather Forecasting - Fundamentals,B.Sc Meteorology,IIT Kharagpur,Coursera - IMD Training Programs
938,Carpentry,Composite Materials - Basics,PhD Materials Engineering,IISc Bangalore,SWAYAM - Material Engineering
939,Augmented Reality,Mixed Reality,M.Tech AR/VR,IIIT Hyderabad,NSDC - AR/VR Development (Certificate)
940,Statistics,Data Analysis,B.Sc Statistics,Presidency College Kolkata,NPTEL - Probability & Statistics
941,Literature,English Literature,B.A English - Specialization,Presidency College Chennai,Coursera - Literature & Culture
942,Tax Law,Textile Design + Industrial Wiring,M.Des Fashion Design,Pearl Academy,PMKVY - Apparel Training
943,Botany,Unity 3D,B.Sc Computer Science,SRM University,edX - Game Design & Development
944,Cybersecurity,Information Security + Siddha Practice,M.Sc Cybersecurity - Specialization,IIT Kanpur,NPTEL - Information Security
945,Masonry,Sculpture + Industrial Microbiology,MFA (Honours),MS University Baroda,Coursera - Lalit Kala Akademi Program
946,Culinary Arts,Bakery & Confectionery,Certificate Bakery - Specialization,Culinary Academy of India,Pluralsight - Baker Training
947,Data Science,Business Intelligence,MBA Business Analytics - Specialization,IIT Roorkee,NSDC - Data Analytics
948,Philosophy,Investment Banking - Professional,MBA Banking (Honours),IIM Lucknow (Dept. of CS),NSDC - Banking & Finance (Certificate)
949,Welding,Heritage Conservation,M.Sc Archaeology - Specialization,Institute of Archaeology Delhi,Government Conservation Programs
950,Chemical Engineering,Petrochemicals + Bioinformatics,M.Tech Chemical - Specialization,Anna University,Microsoft Learn - Chemical Plant Operator
951,Insurance,Documentary Direction - Essentials,Certificate Documentary,Public Service Broadcasting Trust,NPTEL - Documentary Films
952,Software Development,Smart Cities,PG Diploma Urban Planning,Delhi Technological University,NSDC - Urban Planning Skills
953,Real Estate,Hands-on Aerial Photography,Certificate Drone Piloting,Indian Institute of Drones,NPTEL - Drone Operator
954,Urban Planning,Smart Cities,PG Diploma Urban Planning,CEPT Ahmedabad,NSDC - Urban Planning Skills
955,Banking,Hindustani Classical,Diploma Music (Honours),ITC Sangeet Research Academy (Dept. of CS),Sangeet Natak Akademi
956,Film Making,Smart Contracts,B.Tech Blockchain (Honours),Amity University (Dept. of CS),NPTEL - Blockchain and Applications
957,Cricket Coaching,Bowling Techniques,Certificate Cricket Coaching,State Cricket Associations,Pluralsight - Sports Coach
958,Publishing,Concepts of Book Design,PG Diploma Publishing,University of Mumbai,NSDC - Print Media
959,Unani Medicine,Therapeutic Yoga - Fundamentals,B.Sc Yoga Therapy,Swami Vivekananda Yoga University,AYUSH Yoga Programs (Certificate)
960,Medical Science,Clinical Practice,MBBS,AIIMS Delhi,WHO Basic Life Support Training
961,Horticulture,Intro to International Relations,M.A Political Science - Specialization,Delhi University,Udemy - Indian Polity
962,DevOps,Embedded C,Diploma in AI & ML,IIM Rohtak,edX - Embedded C Specialization
963,Theatre Arts,Direction + Nanomaterials,PG Diploma Theatre,FTII Pune,SWAYAM - Performing Arts
964,DevOps,Embedded C,M.Tech CSE - Specialization,Potters Cooperative,Udemy - Embedded C Specialization
965,Patent Law,Ceramic Making,Certificate Pottery (Honours),Potters Cooperative,PM Vishwakarma Scheme
966,Tax Law,Direct Taxation,LLM Tax Law,NALSAR Hyderabad,NPTEL - Taxation Laws
967,Internet of Things,Financial Accounting,B.Com Accounting,Hindu College Delhi,Simplilearn - Tally Accounting
968,Audio Engineering,Advanced Techniques - Intermediate,Certificate Badminton Coaching,Pullela Gopichand Academy,Simplilearn - Badminton Coach
969,Calligraphy,Hand Lettering,Certificate Calligraphy,National Institute of Design,PM Vishwakarma Scheme
970,Reflexology,Brand Design,M.Des Graphic Design (Honours),MIT Institute of Design,Udemy - Adobe Creative Cloud Training
971,DevOps,Machine Learning,M.Sc Data Science,All India Federation of Astrologers,Udemy - Machine Learning Specialization
972,Medical Biotechnology,Stem Cell Research,M.Tech Medical Biotech,Manipal University,NPTEL - Medical Biotechnology
973,Forestry,Technical Writing,M.A English,JNU Delhi,NPTEL - English Communication
974,Business Management,Hands-on Strategic Management,MBA (Honours),NIT Trichy,SWAYAM - Business Strategy (Certificate)
975,Cosmetology,Nanoelectronics,PhD Nanotechnology (Honours),Vellore Institute of Technology,SWAYAM - Nanoscience (Certificate)
976,Embedded Systems,Embedded C,BCA - Specialization,Indian Council of Astrological Sciences,edX - Embedded C Specialization
977,Linguistics,Applied Linguistics - Professional,B.A Linguistics - Specialization,University of Delhi (Dept. of CS),NPTEL - Linguistics
978,Insurance,Actuarial Science - Intermediate,M.Sc Actuarial Science,Institute of Actuaries India,NSDC - Insurance Skills
979,Welding,Digital Forensics,PG Diploma Cyber Forensics,IIT BHU,SWAYAM - Forensic Training
980,Retail Management,Textile Design,M.Des Fashion Design,Pearl Academy,PMKVY - Apparel Training (Certificate)
981,Electric Vehicles,EV Design,M.Tech Automobile,VIT Vellore,PMKVY - EV Technician
982,Chemical Engineering,Manufacturing,M.Tech Production - Specialization,NIT Trichy,PMKVY - CNC Machine Operator
983,Quantum Computing,Court Interpretation,Diploma Interpretation (Honours),High Court Training Programs,NSDC - Legal Interpretation
984,Veterinary Science,Livestock Management,M.V.Sc,Madras Veterinary College,PMKVY - Animal Husbandry
985,Siddha Medicine,Vehicle Design - Fundamentals,B.Tech Automobile,VIT Vellore,NPTEL - Automotive Engineering
986,Nutrition,Clinical Nutrition,B.Sc Nutrition,Lady Irwin College,NSDC - Nutrition & Dietetics
987,Interpretation,Silkworm Rearing + Arabic Calligraphy,Diploma Sericulture,Central Silk Board,Microsoft Learn - Silk Farming
988,Tourism,Travel Management - Intermediate,B.Sc Tourism - Specialization,IGNOU,NPTEL - Tourism Management
989,Fire Safety,Fire Engineering,Diploma Fire Safety (Honours),National Fire Service College,NSDC - Fire Safety Training
990,Special Education,Hands-on Penetration Testing,PG Diploma Cybersecurity,CDAC Pune (Dept. of CS),Coursera - Ethical Hacking
991,Unani Medicine,Unani Practice,BUMS,Aligarh Muslim University,AYUSH Unani Programs
992,Aerospace Engineering,Embedded Systems,M.Tech VLSI,BITS Pilani,NSDC - Electronics Technician
993,Game Development,Unity 3D,B.Sc Computer Science,SRM University,NSDC - Game Design & Development
994,Cybersecurity,Python Programming,M.Sc Data Science (Honours),Tamil Nadu Agricultural University,Pluralsight - Python Programming Specialization
995,Early Childhood Education,Preschool Teaching,Diploma ECE,IGNOU,SWAYAM - Early Childhood Care
996,Neuroscience,Cognitive Science,PhD Neuroscience,IISc Bangalore,SWAYAM - Cognitive Psychology
997,Welding,Gas Welding + Public Policy,Diploma Welding,NSDC Training Centers,NSDC - Advanced Welding
998,Medical Lab Technology,Diagnostics,B.Sc MLT (Honours),Christian Medical College,PMKVY - Medical Lab Technician
999,Alternative Medicine,Hands-on Homeopathy,BHMS (Honours),National Institute of Homoeopathy,AYUSH Training Programs
1000,Public Health,Health Policy,M.Sc Public Health,TISS Mumbai,WHO Training Programs
